give_up_fraction,cost,cost+dis_depot,cost/demand,cost and dis_depot,cost/demand and dis_depot,cost and give_up,cost/demand and give_up
1/2,5220.0,5122.0,4785.0,4687.0,5365.0,5691.0,6322.0
1/3,5220.0,5122.0,4785.0,5054.0,5076.0,4908.0,5325.0
1/4,5220.0,5122.0,4785.0,5280.0,5258.0,4664.0,5385.0
1/5,5220.0,5122.0,4785.0,4715.0,5257.0,4846.0,4882.0
1/6,5220.0,5122.0,4785.0,4507.0,5257.0,4898.0,5356.0
1/7,5220.0,5122.0,4785.0,5020.0,5257.0,5030.0,5356.0
1/8,5220.0,5122.0,4785.0,5020.0,5257.0,5030.0,5356.0
1/9,5220.0,5122.0,4785.0,5020.0,5524.0,5182.0,5271.0
1/10,5220.0,5122.0,4785.0,5218.0,5330.0,4614.0,5039.0
1/11,5220.0,5122.0,4785.0,5218.0,5330.0,4614.0,5039.0
1/12,5220.0,5122.0,4785.0,5218.0,5330.0,4614.0,5163.0
1/13,5220.0,5122.0,4785.0,5218.0,4866.0,4614.0,5181.0
